算数,mathematics
美術,art
生物,biology
科学,chemistry
地理,geography
幾何,geometry
歴史,history
音楽,music
体育,physical education
物理,physics
科学,science
社会,social studies
書き方,penmanship
課外活動,extra-curricular activities
遠足,excursion
小学校,elementary school
中学校,junior high school
高校,high school
大学,uniunversity/ college
専門学校,vocational school
塾,private cram school
予備校,preparatory school
教育制度,educational system
義務教育,compulsory education
学期,School term
学科,subject
試験,exam/ examination
入学試験,entrance exam
最終試験,final exam
試験に合格する,pass the test
