税金,tax
所得税,income tax
連邦税,federal tax
州税,state tax
間接税,indirect tax
社会保障税,Social Security tax
確定申告,final tax returns
控除,deduction
保険代理店,insurance agency
保険会社,insurance company
保険金,insurance money
保険料,premium
保険金控除,insurance deduction
損害保険,accident insurance
自動車保険,automobile insurance
火災保険,fire insurance
生命保険,life insurance
災害保険,casualty insurance
健康保険証,medical insurance card
診察,medical examination
医療保険,medical insurance
強制保険,compulsory insurance
任意保険,voluntary insurance
保険金額,insured amount
保険期間,period of insurance
保険会社,insurance company
保険代理店,insurance agency
かけ金,premiam
加入日,insurance contract day
加入期間,period of the contract
払い戻し,refund
医療保険,medical insurance
損害保険,general casualty insurance
自動車保険,vehicle insurance
盗難,burglary
紛失,loss
