郵便局,post office
郵便番号,ZIP code(post code)
発信人,sender
受取人,recipient
小包,package
局留,general delivery
切手,postage stamp
封筒,envelope
便箋,letter paper
内容,contents
印刷物,printed matter
親展,confidential
天地無用,This Side Up
住所,address
ポスト,mailbox
速達,express delivery
書留,registered mail
航空便,airmail
船便,sea mail
メール,e-mail
電報,telegram
取扱注意,Handle with care
壊れ物,fragile
往復はがき,reply-paid postal card
手数料,handling charge
収入印紙,revenue stamp
保険をかける,have.....insuresd
私書箱, P.O.Box
消印,postmark
身分証明書,I.D.
重量超過の,overweight
朝刊,morning paper
夕刊,evening paper
全国紙,national newspaper
地方紙,local newspaper
購読,subscription 
