試合,game
免罪品,duty-free items
パンフレット,brochure
バスターミナル,bus depot
バス停,bus stop
地図,map
時刻表,timetable
チップ,tip
運転手,driver
出発時間,departure time
交通渋滞,traffic jam
ポーター料金,porterage
美術館,art museum
博物館,museum
市役所,city hall
城,castle
宮殿,palace
寺院,temple
大寺院,abbey
名所,sights
旧跡,historic spot
遺跡,ruins
動物園,zoo
植物園,botanical garden
遊園地,amusement park
水族館,aquarium
記念碑,monument
銅像,statue
墓地,cemetery
郊外,suburbs
海,sea
湾,bay
岬,cape
島,island
海岸,seashore
浜辺,beach
山,mountain
火山,volcano
川,river
森,forest
湖,lake
滝,waterhall
高原,highland
砂漠,desert
日帰り旅行,one day trip
休暇,vacation
キャンプ,camping
海水浴,swimming in the sea
登山,climbing
ハイキング,hiking
室料,room charge
税金,tax
金額,amount
合計,total
サービス料,service charge
飲食代,dining charge
ルームサービス料,room service
領収書,receipt
