デパート,department store
スーパーマーケット,supermarket
薬局,pharmacy
ドラッグストア,drugstore
靴店,shoe shop
書店,bookstore
宝石店,jeweller’s
カメラ店,camera shop
文房具店,stationery shop
レコード店,record shop
楽器店,music store
スポーツ用品店,sporting goods shop
骨董品店,antique shop
生花店,florist’s
時計店,watch store
食料品店,grocery store
おもちゃ店,toy store
食器店,tableware shop
陶磁器店,ceramic ware shop
ガラス器店,glassware shop
金物店,hardware shop
刃物店,cutlery shop
洋服店,clothing store
民芸品店,craftwork shop
家具店,furniture store
ブティック,boutique
安売り店,discount shop
酒店,liquor store
メガネ店,eye-ware store
店員,salesperson
見本,sample
贈り物,gift
お土産,souvenir
値引き,discount
説明書,instruction booklet
ショーケース,display case
紳士服,men’s clothes
婦人服,ladies clothes
レインコート,raincoat
手袋,gloves
帽子,hat
財布,wallet
札入れ,billfold
受付,reception
