シーツ,bed sheet
枕,pillow
掛け布団,comforter
毛布,blanket
バットカバー,bed spread
ドレッサー,dresser
歯ブラシ,toothbrush
歯磨き,toothpaste
石鹸,soap
カミソリ,razor
灰皿,ashtray
日焼け止めクリーム,sun-screening cream
日焼け用オイル,suntan oil
爪切り,nail clipper
安全ピン,safety pins
クシ,comb
ヘアブラシ,hairbrush
日用品,daily necessities
食器,tableware
陶器,ceramics
日曜大工用品,Do-It-Yourself goods
台所用品,kitchenware
食器洗器用洗剤,dish detergent
タワシ,wool
洗濯用洗剤,laundry detergent
洗濯用漂白剤,bleach
ティッシュ,tissues
素材,material
木綿,cotton
麻,linen
絹,silk
化学繊維,synthetic fiber
革,leather
牛革,cowhide
羊皮,sheepskin
